Credit_History,Married,CoapplicantIncome
1.0,0,0.0
1.0,1,1508.0
1.0,1,0.0
1.0,1,2358.0
1.0,0,0.0
1.0,1,4196.0
1.0,1,1516.0
0.0,1,2504.0
1.0,1,1526.0
1.0,1,10968.0
1.0,1,700.0
1.0,1,1840.0
1.0,1,8106.0
1.0,0,2840.0
1.0,1,1086.0
1.0,0,0.0
0.0,0,0.0
0.0,0,0.0
1.0,1,0.0
1.0,1,3500.0
0.0,1,0.0
1.0,1,5625.0
0.0,1,1911.0
0.0,1,1917.0
1.0,1,2925.0
1.0,1,0.0
1.0,1,2253.0
1.0,1,1040.0
1.0,0,0.0
1.0,0,2083.0
1.0,1,3369.0
1.0,0,0.0
1.0,0,0.0
1.0,1,1667.0
1.0,0,3000.0
1.0,1,2067.0
0.0,1,1330.0
1.0,1,1459.0
1.0,0,7210.0
1.0,0,1668.0
1.0,0,0.0
1.0,0,1213.0
1.0,1,0.0
1.0,1,2336.0
1.0,1,0.0
1.0,0,0.0
1.0,1,0.0
1.0,1,0.0
0.0,1,3440.0
1.0,0,2275.0
1.0,1,1644.0
1.0,0,0.0
1.0,0,0.0
1.0,1,0.0
0.0,1,0.0
1.0,1,1167.0
1.0,1,1591.0
1.0,1,2200.0
1.0,1,2250.0
1.0,1,2859.0
1.0,1,3796.0
1.0,1,0.0
0.0,1,3449.0
0.0,1,0.0
0.0,0,0.0
1.0,1,4595.0
0.0,0,2254.0
1.0,1,0.0
1.0,1,0.0
0.0,0,0.0
1.0,1,3066.0
1.0,1,1875.0
1.0,0,0.0
0.0,1,0.0
1.0,1,1774.0
1.0,0,0.0
1.0,0,4750.0
1.0,1,3022.0
0.0,1,4000.0
1.0,1,2166.0
1.0,0,0.0
1.0,1,0.0
1.0,1,1881.0
1.0,1,2250.0
1.0,1,0.0
1.0,0,2531.0
1.0,1,2000.0
1.0,1,2118.0
1.0,0,0.0
1.0,1,4167.0
1.0,1,2900.0
1.0,1,5654.0
1.0,1,1820.0
1.0,0,0.0
1.0,0,0.0
1.0,0,0.0
1.0,1,2302.0
1.0,1,997.0
1.0,1,0.0
1.0,1,3541.0
1.0,1,3263.0
1.0,0,3806.0
1.0,1,0.0
1.0,1,3583.0
1.0,1,754.0
1.0,1,1030.0
1.0,1,1126.0
1.0,0,0.0
0.0,1,3600.0
1.0,1,754.0
1.0,0,0.0
1.0,1,2333.0
0.0,1,4114.0
1.0,0,0.0
1.0,0,0.0
1.0,1,0.0
1.0,1,2283.0
1.0,1,1398.0
1.0,1,2142.0
1.0,0,0.0
1.0,1,2667.0
1.0,0,0.0
0.0,0,8980.0
1.0,1,0.0
1.0,1,2014.0
1.0,0,0.0
1.0,1,0.0
1.0,0,1640.0
0.0,1,3850.0
1.0,1,2569.0
1.0,0,0.0
1.0,0,1929.0
1.0,0,0.0
1.0,1,0.0
1.0,0,0.0
1.0,1,7750.0
1.0,1,0.0
1.0,1,3500.0
0.0,0,0.0
1.0,1,1430.0
1.0,1,2083.0
1.0,0,0.0
1.0,0,0.0
1.0,1,2034.0
1.0,1,0.0
1.0,1,4486.0
1.0,1,0.0
1.0,1,1425.0
1.0,0,1666.0
1.0,1,830.0
0.0,0,0.0
1.0,1,3750.0
1.0,0,0.0
1.0,1,0.0
1.0,0,0.0
0.0,1,0.0
1.0,1,0.0
1.0,1,0.0
1.0,0,2083.0
1.0,1,5625.0
1.0,1,1041.0
1.0,1,0.0
0.0,1,1280.0
1.0,1,1447.0
1.0,1,0.0
1.0,1,3166.0
1.0,1,0.0
1.0,1,3333.0
0.0,0,0.0
1.0,1,0.0
1.0,1,1769.0
1.0,1,0.0
1.0,1,0.0
1.0,1,5625.0
1.0,1,736.0
1.0,1,1964.0
1.0,1,1619.0
0.0,1,11300.0
1.0,1,0.0
0.0,0,1451.0
0.0,1,7250.0
1.0,0,5063.0
1.0,1,0.0
1.0,1,0.0
1.0,1,0.0
1.0,1,4750.0
0.0,1,0.0
1.0,1,2138.0
1.0,1,5296.0
1.0,1,0.0
1.0,0,0.0
1.0,0,0.0
1.0,1,0.0
1.0,0,0.0
1.0,0,0.0
1.0,1,2583.0
1.0,0,3750.0
1.0,0,2365.0
1.0,1,2816.0
1.0,0,0.0
1.0,1,2500.0
0.0,0,0.0
1.0,1,0.0
1.0,1,1083.0
1.0,1,0.0
1.0,0,0.0
1.0,0,0.0
1.0,0,2531.0
1.0,0,0.0
1.0,0,0.0
1.0,0,0.0
0.0,1,1250.0
1.0,1,0.0
1.0,1,0.0
1.0,1,3021.0
1.0,1,983.0
1.0,1,1800.0
1.0,1,1775.0
0.0,1,0.0
0.0,1,2383.0
0.0,1,0.0
1.0,1,1717.0
1.0,0,2791.0
1.0,1,1010.0
1.0,1,0.0
1.0,1,0.0
1.0,1,0.0
1.0,1,1695.0
1.0,1,0.0
1.0,0,0.0
1.0,1,2054.0
1.0,1,0.0
1.0,0,2598.0
1.0,0,0.0
1.0,1,1779.0
1.0,1,1260.0
1.0,1,0.0
1.0,0,0.0
1.0,0,0.0
1.0,1,0.0
1.0,1,5000.0
1.0,1,1983.0
1.0,0,5701.0
1.0,1,1300.0
1.0,1,4417.0
1.0,0,4333.0
1.0,1,0.0
1.0,1,0.0
1.0,1,1843.0
1.0,1,1868.0
0.0,1,3890.0
1.0,0,0.0
1.0,0,2167.0
1.0,1,7101.0
0.0,0,0.0
1.0,0,0.0
0.0,0,0.0
1.0,1,0.0
1.0,1,2100.0
1.0,1,0.0
1.0,1,4250.0
1.0,0,2209.0
1.0,0,0.0
1.0,0,0.0
1.0,0,0.0
1.0,0,3447.0
1.0,1,1387.0
0.0,1,1811.0
1.0,0,0.0
1.0,0,1560.0
1.0,0,0.0
1.0,1,0.0
1.0,0,1857.0
